MDM_KEY,ROWID_SYSTEM,SRC_KEY,SOURCE_NAME,FULL_ADDRESS,name_category,name_sub_category,address_category,address_sub_category,name_reason,address_reason,encoding_fixed,street,city,state,country,zip,clean_address,is_complete,flag_reason,detected_language,was_translated
14080479,HBT_NEX,0011H00001v0m47QAA,American Industrial Sales - Recap W,Waushara|#|#Berlin|#|#WI|#|#US|#|#54923,COMPANY_NAMES,Company Location and Department Codes,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME 'American Industrial Sales - Recap W' includes a company name 'American Industrial Sales' combined with a location or department code descriptor 'Recap W', matching the pattern of company names with location or department codes.","The address contains a street-like component 'Waushara', a city 'Berlin', state code 'WI', country 'US', and a valid zipcode '54923', matching the structure of a full street address.",False,Waushara,Berlin,WI,US,54923,"Waushara, Berlin, WI, US, 54923",False,Missing or invalid: street,de,True
8201844,SPS_GDM,0012G00002EbQE3QAN,414 Las Cervezas Modelo Del Bajão - Cortazar,Carretera A La Estación Cortazar S/n|#|#Cortazar|#|#GTO.|#|#MX|#|#38380,COMPANY_NAMES,Company Names with Location or Department Descriptors,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME includes a company-like name 'Las Cervezas Modelo Del BajÃ£Âo' combined with a location descriptor 'Cortazar', matching the pattern of company names with location descriptors.","The address contains detailed street information including street name with 'Carretera A La Estación Cortazar S/n', city 'Cortazar', state code 'GTO.', country 'MX', and zipcode '38380', matching the full street address category.",True,Carretera A La Estación Cortazar S/n,Cortazar,GTO.,MX,38380,"Road to Cortazar S/n Station, Cortazar, GTO., MX, 38380",False,Missing or invalid: street,es,True
21753784,HBT_NEX,001KW00001TMRq0YAH,Nova Caldas Administ.e Serv.hotel.ltda,Rua Do Balneario - Turista I|#|#Caldas Novas|#|#GOIÁS|#|#BR|#|#75690000,COMPANY_NAMES,Company Names with Legal or Trading Suffixes,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME 'Nova Caldas Administ.e Serv.hotel.ltda' includes 'ltda', a common legal suffix for companies (similar to Ltda or Ltda.), indicating it is a company name with a legal suffix.","The address contains a street name with a descriptor ('Rua Do Balneario - Turista I'), city (Caldas Novas), state (GOIÁS), country (BR), and a postal code (75690000), matching the definition of a full street address.",True,Rua Do Balneario - Turista I,Caldas Novas,GOIÁS,BR,75690000,"Rua Do Balneario - Turista I, Caldas Novas, GOIÁS, BR, 75690000",False,Missing or invalid: street,lt,True
4415846,BRP900,0000592596,Abantia Seguridad S.a.,"Nou Hospital Reus -via Bellisens-un Reus, Iversitat|#|#Reus|#|#T|#|#ES|#|#43204",COMPANY_NAMES,Company Names with Legal or Trading Suffixes,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME 'Abantia Seguridad S.a.' includes a legal suffix 'S.a.' indicating a company type, matching the pattern of company names with legal suffixes.","The address contains detailed street information including a street name with building or facility name (Nou Hospital Reus -via Bellisens-un Reus, Iversitat), city (Reus), state code (T), country (ES), and postal code (43204), matching the full street address category.",False,"Nou Hospital Reus -via Bellisens-un Reus, Iversitat",Reus,T,ES,43204,"New Hospital Reus -via Bellisens-un Reus, Iversitat, Reus, T, ES, 43204",False,Missing or invalid: street,ca,True
22135324,BRP900,0002336031,Chiolim Inc,St|#|#Fort Morgan|#|#CO|#|#US|#|#80701,COMPANY_NAMES,Company Names with Legal or Trading Suffixes,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME 'Chiolim Inc' includes the legal suffix 'Inc', indicating it is a company name with a legal suffix.","The address contains a street component ('St'), city (Fort Morgan), state code (CO), country (US), and zipcode (80701), matching the definition of a full street address with detailed location information.",False,St,Fort Morgan,CO,US,80701,"Street Fort Morgan, CO, US, 80701",False,Missing or invalid: street,de,True
14969598,HBT_NEX,0015a00003Gh5pMAAR,Assemblin Automation Oy,Västberga Allé|#|#Coolham|#|#|#|#GB|#|#RH13 8GR,COMPANY_NAMES,Company Names with Legal or Trading Suffixes,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME 'Assemblin Automation Oy' includes 'Oy', a Finnish legal suffix for companies, indicating it is a company name with a legal suffix.","The address contains a street name ('Västberga Allé'), a city ('Coolham'), a country code ('GB'), and a valid postcode ('RH13 8GR'), matching the structure of a full street address.",True,Västberga Allé,Coolham,,GB,RH13 8GR,"Västberga Allé, Coolham, GB, RH13 8GR",False,Missing or invalid: street,sv,True
8247302,CIP900,0000003836,Bayside Dairy,Fl|#|#Sarasota|#|#FL|#|#US|#|#34278,COMPANY_NAMES,Standard Company Names,FULL_STREET_ADDRESS,Full street addresses,"""Bayside Dairy"" appears to be a company or organization name without legal suffixes or additional descriptors, fitting the standard company names sub-category.","The address contains a street-like component 'Fl' (likely an abbreviation or incomplete street info), city, state, country, and zipcode, fitting the pattern of a full street address despite minimal street detail.",False,Fl,Sarasota,FL,US,34278,"Fl, Sarasota, FL, US, 34278",False,Missing or invalid: street,ca,True
8133528,C11,0000853711,Alstom Power O&m,"Parcela Al Norte Del, Pta|#|#Campanillas (málaga)|#|#29|#|#ES|#|#29590",COMPANY_NAMES,Company Names with Location or Department Descriptors,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME 'Alstom Power O&m' includes a company name 'Alstom Power' combined with an operational descriptor 'O&m' (Operations and Maintenance), which fits the pattern of company names with location or department descriptors.","The address contains detailed street information ('Parcela Al Norte Del, Pta'), city ('Campanillas (málaga)'), state code ('29'), country ('ES'), and a postal code ('29590'), matching the full street address category.",True,"Parcela Al Norte Del, Pta",Campanillas (málaga),29,ES,29590,"Plot Al Norte Del, Pta, Campanillas (málaga), 29, ES, 29590",False,Missing or invalid: street,es,True
3192999,BRP900,0000158896,Cpk Comp Prod Papel Kraftsack Sa,R Bombeiros Da Celulose|#|#Cacia|#|#|#|#PT|#|#3800-536,COMPANY_NAMES,Company Names with Legal or Trading Suffixes,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME 'Cpk Comp Prod Papel Kraftsack Sa' appears to be a company name including a legal suffix 'Sa' (Sociedad Anónima), which matches the pattern of company names with legal suffixes.","The address contains a street name 'R Bombeiros Da Celulose', a city 'Cacia', a country 'PT', and a postal code '3800-536', which fits the definition of a full street address with detailed street and location information.",False,R Bombeiros Da Celulose,Cacia,,PT,3800-536,"R Firefighters Da Celulose, Cacia, PT, 3800-536",False,Missing or invalid: street,pt,True
4184898,BRP900,0000166936,Epes Auvelais 722460,Rue Du Bosquet|#|#Auvelais|#|#Brussels|#|#BE|#|#5060,COMPANY_NAMES,Company Names with Location or Department Descriptors,FULL_STREET_ADDRESS,Full street addresses,"The SOURCE_NAME 'Epes Auvelais 722460' appears to be a company or organization name ('Epes') combined with a location or site descriptor ('Auvelais') and a numeric code ('722460'), fitting the pattern of company names with location or department descriptors.","The address contains a street name (Rue Du Bosquet), city (Auvelais), state code (Brussels), country (BE), and a postal code (5060), matching the definition of a full street address.",False,Rue Du Bosquet,Auvelais,Brussels,BE,5060,"Rue Du Bosquet, Auvelais, Brussels, BE, 5060",False,Missing or invalid: street,fr,True
